Caso,Survived,Age,Passenger,Sex,Hermanos o Esposas,Niños,Tarifa
1,Yes,29,First,Female,0,0,211.3
2,No,2,First,Female,1,2,151.6
3,No,30,First,Male,1,2,151.6
4,No,25,First,Female,1,2,151.6
5,Yes,48,First,Male,0,0,26.6
6,Yes,63,First,Female,1,0,78
7,No,39,First,Male,0,0,0
8,Yes,18,First,Female,1,0,227.5
9,Yes,26,First,Female,0,0,78.9
10,Yes,80,First,Male,0,0,30
11,No,30,First,Male,0,0,25.9
12,No,24,First,Male,0,1,247.5
13,Yes,50,First,Female,0,1,247.5
14,Yes,32,First,Female,0,0,76.3
15,No,36,First,Male,0,0,75.2
16,Yes,37,First,Male,1,1,52.6
17,Yes,26,First,Male,0,0,30
18,Yes,42,First,Female,0,0,227.5
19,Yes,29,First,Female,0,0,221.8
20,Yes,25,First,Male,1,0,91.1
21,Yes,19,First,Female,1,0,91.1
22,Yes,35,First,Female,0,0,135.6
23,Yes,28,First,Male,0,0,26.6
24,No,45,First,Male,0,0,35.5
25,Yes,40,First,Male,0,0,31
26,Yes,30,First,Female,0,0,164.9
27,Yes,58,First,Female,0,0,26.6
28,No,42,First,Male,0,0,26.6
29,Yes,22,First,Female,0,1,55
30,Yes,30,First,Male,0,0,26.6
31,No,41,First,Male,0,0,30.5
32,No,48,First,Male,0,0,50.5
33,No,30,First,Male,0,0,39.6
34,Yes,59,First,Female,2,0,51.5
35,Yes,60,First,Female,0,0,76.3
36,No,30,First,Male,0,0,31
37,Yes,42,First,Male,0,0,26.3
38,Yes,53,First,Female,0,0,27.4
39,Yes,36,First,Male,0,1,512.3
40,No,28,First,Male,0,0,47.1
41,No,17,First,Male,0,0,47.1
42,Yes,11,First,Male,1,2,120
43,Yes,36,First,Male,1,2,120
44,Yes,36,First,Female,1,2,120
45,No,49,First,Male,0,0,26
46,No,36,First,Male,1,0,78.9
47,Yes,76,First,Female,1,0,78.9
48,No,46,First,Male,1,0,61.2
49,Yes,47,First,Female,1,0,61.2
50,Yes,27,First,Male,1,0,53.1
51,Yes,36,First,Female,0,0,262.4
52,Yes,30,First,Female,0,0,86.5
53,Yes,30,First,Female,0,1,55
54,No,30,First,Male,0,0,0
55,No,27,First,Male,1,0,136.8
56,Yes,26,First,Female,1,0,136.8
57,Yes,22,First,Female,0,0,151.6
